"controlHR" "flightHR"
85.5852631578947 87.9024038461538
70.83625 70.1239534883721
96.0354716981132 97.5976923076923
84.6630188679245 88.0173529411765
87.5412903225807 95.9260204081633
74.6177272727273 68.3672972972973
63.24 64.9166666666667
73.67 81.5334782608696
77.0096153846154 75.2416666666667
69.9507142857143 70.0208510638298
79.6638461538462 83.3467021276596
75.356862745098 82.0521276595745
72.774375 81.2409677419355
70.5098305084746 78.9712096774194
83.6775 84.4899193548387
77.8153846153846 73.9237272727273
70.6955555555556 65.7065833333333
79.1624615384615 98.7317213114754
93.73703125 89.5903125
69.916015625 70.1625
74.9028125 71.9740625
65.989375 64.9733333333333
81.7696875 90.5433846153846
80.3326984126984 86.0106666666667
95.4453968253968 96.1680158730159
68.2140350877193 70.8565384615385
89.1509375 91.6345238095238
91.2673015873016 89.6515873015873
94.0439024390244 95.794375
81.19275 86.4881967213115
72.3658870967742 86.635625
80.6966935483871 69.7580952380952
66.8395967741936 71.5646875
